商品,特征,大类,二级类
100g*5瓶益力多,益力多,饮料,乳制品
100g越南LIPO奶味面包干,"越南面包干,奶味",非饮料,饼干糕点
10g卫龙亲嘴烧香辣味,"卫龙亲嘴烧,香辣味,卫龙",非饮料,肉干/豆制品/蛋
10g越南LIPO奶味面包干,"越南面包干,奶味",非饮料,饼干糕点
110g顺宝九制话梅,"顺宝九制话梅,顺宝九制,话梅",非饮料,蜜饯/果干
120g达利园蔓越莓提子面包,"达利园蔓越莓提子面包,面包,达利园",非饮料,饼干糕点
12g劲仔小鱼（香辣味）,"劲仔小鱼,香辣味",非饮料,肉干/豆制品/蛋
12g劲仔小鱼麻辣味,"劲仔小鱼,麻辣味",非饮料,肉干/豆制品/蛋
13g无穷烤鸡小腿蜂蜜味,"无穷烤鸡小腿,蜂蜜味",非饮料,肉干/豆制品/蛋
145ml旺仔牛奶罐装,"旺仔牛奶,罐装",饮料,乳制品
145ml旺仔牛奶盒装,"旺仔牛奶,盒装",饮料,乳制品
148g富甲一方紫薯仔,富甲一方紫薯仔,非饮料,蜜饯/果干
150g健能酸奶原味,"健能酸奶,原味",饮料,乳制品
150g贤哥手撕牛排味,"贤哥手撕,牛排味",非饮料,肉干/豆制品/蛋
160g盼盼手撕面包,"盼盼手撕面包,面包,盼盼",非饮料,饼干糕点
182g徐福记凤梨酥,"徐福记,凤梨酥",非饮料,饼干糕点
200g喜之郎/什锦果肉,"喜之郎什锦果肉,喜之郎",非饮料,果冻/龟苓膏
20g咪咪虾条马来西亚风味,"咪咪虾条,马来西亚风味,虾条",非饮料,膨化食品
20g咩咩世界虾味条,"咩咩世界虾味条,虾条",非饮料,膨化食品
20g洽洽每日坚果,洽洽每日坚果,非饮料,坚果炒货
20g士力架,士力架,非饮料,糖果/巧克力
220g宝丰龙龟苓膏,"宝丰龙龟苓膏,宝丰",非饮料,果冻/龟苓膏
225g味之不规则饼干芝士味,"味之不规则饼干,芝士味",非饮料,饼干糕点
250ML东鹏特饮,东鹏特饮,饮料,功能饮料
250ml红牛,红牛,饮料,功能饮料
250ml维他奶巧克力味,"维他奶,巧克力味,维他",饮料,植物蛋白
250ml维他柠檬茶,"维他柠檬茶.柠檬味,维他",饮料,茶饮料
250ml维他原味豆奶,"维他原味豆奶,原味,豆奶,维他",饮料,植物蛋白
250ml燕塘红枣牛奶,"燕塘红枣牛奶,红枣味,牛奶,燕塘",饮料,乳制品
250ml燕塘甜牛奶,"燕塘甜牛奶,牛奶,甜,燕塘",饮料,乳制品
250ml燕塘原味酸奶,"燕塘原味酸奶,酸奶,原味,燕塘",饮料,乳制品
268ml雀巢咖啡丝滑拿铁,"雀巢咖啡丝滑拿铁,雀巢",饮料,咖啡
2g韩国海牌海苔,韩国海牌海苔,非饮料,海味零食
30g无穷农场盐_鸡蛋,"鸡蛋,无穷农场",非饮料,肉干/豆制品/蛋
32g卫龙亲嘴烧红烧牛肉味,"卫龙亲嘴烧,红烧牛肉味,卫龙",非饮料,肉干/豆制品/蛋
330ml伊利畅意乳酸菌原味,"伊利畅意乳酸菌,原味,酸奶,伊利",饮料,乳制品
340ml蒙牛优益C乳酸菌,"蒙牛优益C乳酸菌,酸奶,蒙牛",饮料,乳制品
40g盼盼手撕面包,"盼盼手撕面包,面包,盼盼",非饮料,饼干糕点
40g上好佳日式鱼果,"上好佳日式鱼果,鱼果,上好佳",非饮料,膨化食品
40g上好佳田园薯片,"上好佳田园薯片,薯片,上好佳",非饮料,膨化食品
40g上好佳田园薯片番茄味,"上好佳田园薯片番茄味,上好佳",非饮料,膨化食品
40g双汇玉米热狗肠,"双汇玉米热狗肠,玉米味,肠,双汇",非饮料,肉干/豆制品/蛋
40g卫龙点心面黑椒牛排味,"卫龙点心面,黑椒牛排味,卫龙",非饮料,肉干/豆制品/蛋
